workclass,education,marital-status,occupation,relationship,race,sex,native-country,age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,Cuba,"(0.233, 0.329]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,11th,Separated,Sales,Own-child,White,Female,United-States,"(0.123, 0.233]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Sales,Wife,White,Female,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,11th,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,"(0.466, 1.0]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Portugal,"(0.233, 0.329]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,Canada,"(0.123, 0.233]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Never-married,Tech-support,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,9th,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Never-married,Sales,Unmarried,Asian-Pac-Islander,Male,South,"(-0.001, 0.123]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,12th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Widowed,Priv-house-serv,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Sales,Other-relative,White,Female,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Prof-specialty,Unmarried,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Widowed,Tech-support,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Local-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Tech-support,Not-in-family,White,Female,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.329, 0.466]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
?,Some-college,Never-married,?,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Separated,Tech-support,Unmarried,White,Female,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
State-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,Some-college,Married-civ-spouse,?,Wife,White,Female,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.466, 1.0]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Never-married,Prof-specialty,Unmarried,Black,Female,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Never-married,Prof-specialty,Own-child,White,Male,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Assoc-acdm,Divorced,Other-service,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,?,"(0.329, 0.466]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-not-inc,HS-grad,Divorced,Sales,Unmarried,Black,Male,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Never-married,Craft-repair,Unmarried,White,Female,United-States,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Widowed,Sales,Other-relative,White,Female,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,9th,Divorced,Other-service,Other-relative,White,Female,United-States,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,7th-8th,Widowed,Other-service,Unmarried,Black,Female,United-States,"(0.466, 1.0]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
State-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Female,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,11th,Widowed,?,Other-relative,White,Female,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Divorced,Sales,Not-in-family,White,Female,Germany,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,HS-grad,Divorced,Other-service,Other-relative,White,Female,United-States,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Masters,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,HS-grad,Divorced,?,Own-child,White,Male,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,"(0.123, 0.233]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Assoc-voc,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,"(0.123, 0.233]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,HS-grad,Never-married,?,Unmarried,Black,Female,United-States,"(0.329, 0.466]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Divorced,Craft-repair,Not-in-family,Black,Female,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,12th,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,"(0.466, 1.0]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Hong,"(0.233, 0.329]","(0.195, 1.0]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,5th-6th,Never-married,Farming-fishing,Unmarried,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,"(0.233, 0.329]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Prof-school,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,"(0.466, 1.0]","(0.195, 1.0]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
?,7th-8th,Divorced,?,Not-in-family,White,Female,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Separated,Craft-repair,Not-in-family,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,Mexico,"(0.123, 0.233]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,United-States,"(0.329, 0.466]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,"(0.123, 0.233]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,Jamaica,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(0.195, 1.0]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,?,"(0.123, 0.233]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,"(0.466, 1.0]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
?,Some-college,Never-married,?,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,"(0.329, 0.466]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,"(0.233, 0.329]","(-0.001, 0.0754]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Self-emp-inc,Bachelors,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
State-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,"(0.233, 0.329]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Never-married,Sales,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.195, 1.0]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,"(-0.001, 0.123]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,10th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.233, 0.329]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,?,"(0.466, 1.0]","(-0.001, 0.0754]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,12th,Never-married,Other-service,Own-child,White,Male,United-States,"(0.329, 0.466]","(0.0754, 0.115]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,HS-grad,Widowed,Machine-op-inspct,Unmarried,Other,Male,Columbia,"(0.329, 0.466]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
?,Masters,Never-married,?,Not-in-family,White,Female,United-States,"(0.466, 1.0]","(0.0754, 0.115]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,"(-0.001, 0.123]","(0.115, 0.147]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,"(0.466, 1.0]","(0.115, 0.147]","(0.8, 1.0]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,"(0.329, 0.466]","(0.147, 0.195]","(0.533, 0.6]","(-0.001, 1.0]","(-0.001, 1.0]","(0.5, 1.0]"
Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,United-States,"(0.466, 1.0]","(0.195, 1.0]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.347, 0.398]"
Private,Assoc-acdm,Never-married,Tech-support,Not-in-family,White,Male,United-States,"(-0.001, 0.123]","(0.0754, 0.115]","(0.6, 0.8]","(-0.001, 1.0]","(-0.001, 1.0]","(0.398, 0.5]"
Private,5th-6th,Widowed,Machine-op-inspct,Not-in-family,White,Female,Italy,"(0.466, 1.0]","(0.115, 0.147]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
?,5th-6th,Never-married,?,Unmarried,White,Female,El-Salvador,"(-0.001, 0.123]","(0.147, 0.195]","(-0.001, 0.533]","(-0.001, 1.0]","(-0.001, 1.0]","(-0.001, 0.347]"
